ACCT_NBR,CUST_ID,CANCEL_NO_CONTACT,IS_DIGITAL,ACCT_OPEN_DT,AUM_AMT,DATE_OF_BIRTH,YEARLYINCOMELEVEL,CNTY_CD,TXN_COUNT,TXN_AMT_SUM,TXN_AMT_MEAN,EB_CHECK_SUM,MB_CHECK_SUM,IP_RATE,UUID_RATE,VIRTUAL_ID,DRCR_OUT,DRCR_IN,TX_TIME,CHANNEL_CODE,TRN_CODE,Y
ACCT0,ID0,0,1,17642,1281,34,126.0,12.0,7,32415,4630.714285714285,0.0,0.5714285714285714,0.0,0.14285714285714285,7.0,4.0,3.0,,17,25,0
ACCT1,ID1,0,0,17359,56019182,43,350.0,12.0,1,1422,1422.0,0.0,0.0,0.0,0.0,1.0,,1.0,1.0,10,6,0
ACCT10,ID7,0,0,14932,1634286,76,25.0,12.0,1,689,689.0,0.0,0.0,0.0,0.0,1.0,,1.0,1.0,10,6,0
ACCT1000,ID937,0,1,16308,67,37,25.0,12.0,5,242852,48570.4,0.0,1.4,0.4,0.4,5.0,1.0,4.0,,17,25,0
ACCT10000,ID9435,0,0,8673,6533852,55,25.0,12.0,14,617369,44097.78571428572,0.0,2.2142857142857144,0.14285714285714285,0.0,13.0,9.0,5.0,3.0,15,27,0
ACCT10001,ID9436,0,1,17779,43664,40,25.0,12.0,28,35206,1257.357142857143,0.0,0.7857142857142857,0.14285714285714285,0.14285714285714285,28.0,25.0,3.0,22.0,16,15,0
ACCT10002,ID9437,0,1,15792,26720,30,126.0,12.0,3,32623,10874.333333333334,0.0,1.3333333333333333,0.3333333333333333,0.0,3.0,3.0,,,18,27,0
ACCT10003,ID9438,0,1,17778,614,27,126.0,12.0,13,148450,11419.23076923077,0.0,2.6923076923076925,0.9230769230769231,0.7692307692307693,11.0,6.0,7.0,1.0,17,25,0
ACCT10004,ID9439,0,1,16118,15543,59,25.0,12.0,1,504,504.0,0.0,1.0,1.0,0.0,1.0,1.0,,,18,27,1
ACCT10005,ID9440,0,1,16000,204970,36,25.0,12.0,34,179338,5274.64705882353,0.0,2.0588235294117645,0.4411764705882353,0.058823529411764705,32.0,18.0,16.0,2.0,19,12,0
ACCT10006,ID9441,0,1,16444,0,45,25.0,12.0,44,97673,2219.840909090909,0.0,3.6818181818181817,0.20454545454545456,0.22727272727272727,43.0,28.0,16.0,14.0,18,27,0
ACCT10009,ID9444,0,1,16000,210803,43,126.0,12.0,5,4283,856.6,0.0,0.0,0.0,0.0,5.0,1.0,4.0,,17,25,0
ACCT10010,ID9445,0,0,6683,581203,62,,12.0,14,756857,54061.21428571428,0.0,0.0,0.0,0.0,14.0,11.0,3.0,2.0,17,29,0
ACCT10011,ID9446,0,0,8167,117968,75,,12.0,1,430,430.0,0.0,0.0,0.0,0.0,1.0,,1.0,,10,6,0
ACCT10012,ID9447,0,0,17260,3994351,31,126.0,12.0,1,383,383.0,0.0,0.0,0.0,0.0,1.0,,1.0,1.0,10,6,0
ACCT10013,ID9448,1,0,7657,2015,60,,12.0,1,1665,1665.0,0.0,0.0,0.0,0.0,1.0,,1.0,1.0,16,11,0
ACCT10014,ID9449,0,1,16308,73238,31,25.0,12.0,16,75728,4733.0,0.0,0.8125,0.0,0.125,15.0,7.0,9.0,1.0,17,25,0
ACCT10015,ID9450,0,1,16000,207371,40,25.0,12.0,8,139139,17392.375,0.25,1.75,0.125,0.25,8.0,6.0,2.0,1.0,18,27,0
ACCT10017,ID9452,1,0,15975,99299,56,126.0,12.0,9,11090,1232.2222222222222,0.0,0.0,0.0,0.0,9.0,,9.0,,16,42,0
ACCT10018,ID9453,0,0,8764,13031,26,,12.0,1,46,46.0,0.0,0.0,0.0,0.0,1.0,,1.0,,10,6,0
ACCT10019,ID9454,0,1,15658,1844,41,126.0,12.0,7,21079,3011.285714285714,0.0,1.7142857142857142,0.0,0.0,7.0,6.0,1.0,,18,15,0
ACCT1002,ID939,0,1,17770,4092494,48,126.0,12.0,2,2892,1446.0,0.0,0.0,0.0,0.0,2.0,,2.0,2.0,10,6,0
ACCT10020,ID9455,0,1,16346,1301,25,25.0,12.0,7,20316,2902.285714285714,0.0,4.285714285714286,0.7142857142857143,0.0,5.0,3.0,4.0,,18,25,0
ACCT10021,ID9456,0,0,18074,364257,28,126.0,12.0,1,35,35.0,0.0,1.0,0.0,1.0,1.0,,1.0,,10,6,0
ACCT10022,ID9457,0,0,8008,28808,36,,12.0,1,1,1.0,0.0,0.0,0.0,0.0,1.0,,1.0,,10,6,0
ACCT10023,ID9458,0,1,15355,145159,32,126.0,12.0,13,79098,6084.461538461538,0.0,3.4615384615384617,0.15384615384615385,0.15384615384615385,11.0,7.0,6.0,2.0,16,42,0
ACCT10024,ID9459,0,0,6434,1031957,60,126.0,12.0,4,5792,1448.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,2.0,16,20,0
ACCT10025,ID9460,0,0,17282,393531,35,350.0,12.0,1,1436,1436.0,0.0,0.0,0.0,0.0,1.0,,1.0,,10,6,0
ACCT10026,ID9461,0,1,16346,9243,35,25.0,12.0,5,37306,7461.2,0.0,1.2,0.2,0.2,5.0,3.0,2.0,1.0,17,25,0
ACCT10027,ID9462,0,0,14847,262804,35,25.0,12.0,4,61346,15336.5,0.0,0.0,0.0,0.0,4.0,2.0,2.0,2.0,16,6,0
ACCT10028,ID9463,0,1,16661,84127,27,25.0,12.0,12,50380,4198.333333333333,0.0,1.4166666666666667,0.08333333333333333,0.16666666666666666,9.0,6.0,6.0,,18,27,0
ACCT1003,ID940,0,1,17725,340385,50,25.0,12.0,2,13989,6994.5,0.0,0.5,0.5,0.0,2.0,2.0,,,15,20,0
ACCT10030,ID9465,0,1,16525,9343,35,126.0,12.0,14,121951,8710.785714285714,0.0,2.9285714285714284,0.7142857142857143,0.21428571428571427,12.0,9.0,5.0,2.0,18,27,0
ACCT10031,ID9466,1,0,9563,1059262,70,25.0,12.0,1,297,297.0,0.0,0.0,0.0,0.0,1.0,,1.0,,10,6,0
ACCT10033,ID9468,0,0,17235,36625,60,126.0,12.0,6,152128,25354.666666666668,0.0,0.0,0.0,0.0,3.0,4.0,2.0,1.0,17,28,0
ACCT10035,ID9470,0,0,17267,281283,50,25.0,12.0,1,576,576.0,0.0,0.0,0.0,0.0,1.0,,1.0,,10,6,0
ACCT10036,ID9470,0,0,17267,281283,50,25.0,12.0,11,277152,25195.636363636364,0.0,0.8181818181818182,0.0,0.0,11.0,6.0,5.0,4.0,17,25,0
ACCT10037,ID9471,0,0,7889,6974969,50,126.0,12.0,12,839510,69959.16666666667,0.0,0.8333333333333334,0.25,0.0,11.0,10.0,2.0,6.0,16,20,0
ACCT10038,ID9472,0,1,17297,32022,35,25.0,12.0,4,31200,7800.0,0.0,1.5,1.0,0.0,2.0,2.0,2.0,,17,15,0
ACCT10039,ID9473,0,1,18235,1147,46,126.0,12.0,2,654,327.0,0.0,0.0,0.0,0.0,2.0,,2.0,1.0,16,41,0
ACCT10040,ID9474,0,0,16657,56280,36,25.0,12.0,11,165806,15073.272727272728,0.0,0.45454545454545453,0.0,0.0,11.0,6.0,5.0,8.0,15,27,0
ACCT10041,ID9475,0,0,10570,3230426,50,126.0,12.0,16,471005,29437.8125,0.0,3.0,0.25,0.0,16.0,10.0,6.0,2.0,15,27,0
ACCT10042,ID9476,0,1,16346,31900,56,25.0,12.0,2,3004,1502.0,0.0,0.0,0.0,0.0,1.0,2.0,,,16,15,0
ACCT10043,ID9477,0,1,16248,27071,28,25.0,12.0,49,139758,2852.204081632653,0.0,1.8979591836734695,0.20408163265306123,0.08163265306122448,39.0,28.0,21.0,23.0,16,47,0
ACCT10044,ID9478,0,1,17778,1926,36,25.0,12.0,4,64913,16228.25,0.0,1.0,0.0,0.0,4.0,2.0,2.0,,16,20,0
ACCT10045,ID9479,0,1,16308,154638,38,25.0,12.0,2,113990,56995.0,0.0,2.5,0.0,0.0,2.0,,2.0,,14,12,0
ACCT10046,ID9480,0,1,17777,158561,49,25.0,12.0,1,70,70.0,0.0,0.0,0.0,0.0,1.0,,1.0,1.0,10,6,0
ACCT10047,ID9481,0,1,17644,9886,44,25.0,12.0,10,110238,11023.8,0.0,2.3,0.1,0.0,10.0,6.0,4.0,,17,14,0
ACCT10048,ID9482,0,1,16000,0,38,126.0,12.0,2,10384,5192.0,0.0,1.5,0.5,0.0,2.0,1.0,1.0,,17,15,0
ACCT1005,ID942,0,1,18142,98748,62,25.0,12.0,5,79207,15841.4,0.0,2.2,0.0,0.0,5.0,1.0,4.0,1.0,17,25,0
ACCT10050,ID9484,0,0,14847,17652,43,126.0,12.0,27,129608,4800.2962962962965,0.0,0.14814814814814814,0.0,0.0,22.0,24.0,3.0,1.0,19,15,0
ACCT10051,ID9485,0,0,10410,6170,43,,12.0,4,15062,3765.5,0.0,0.25,0.0,0.0,4.0,3.0,1.0,3.0,15,15,0
ACCT10052,ID9486,0,0,14652,47906300,59,1000.0,12.0,1,155,155.0,0.0,0.0,0.0,0.0,1.0,,1.0,1.0,10,6,0
ACCT10053,ID9487,0,0,16240,219825,51,,12.0,1,205,205.0,0.0,0.0,0.0,0.0,1.0,,1.0,1.0,10,6,0
ACCT10054,ID9488,0,1,16444,27281,29,25.0,12.0,8,57070,7133.75,0.0,3.625,0.125,0.5,8.0,5.0,3.0,,17,20,0
ACCT10056,ID9490,0,1,16346,32646,27,25.0,12.0,2,289,144.5,0.0,0.0,0.0,0.0,2.0,2.0,,2.0,16,47,0
ACCT10057,ID9491,0,1,17906,10054,30,25.0,12.0,2,716,358.0,0.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,16,25,0
ACCT10058,ID9492,0,1,16763,3508,33,25.0,12.0,7,10625,1517.857142857143,0.0,0.8571428571428571,0.2857142857142857,0.0,4.0,5.0,2.0,1.0,18,15,0
ACCT10059,ID9493,0,1,16660,290352,30,126.0,12.0,10,33808,3380.8,0.0,0.9,0.3,0.0,3.0,9.0,1.0,,19,15,0
ACCT1006,ID943,0,1,16248,240813,33,126.0,12.0,2,9719,4859.5,0.0,1.0,0.0,0.0,2.0,1.0,1.0,,16,20,0
ACCT10061,ID9495,0,1,18141,82,25,25.0,12.0,1,9033,9033.0,0.0,0.0,0.0,0.0,1.0,,1.0,,17,24,0
ACCT10062,ID9496,0,0,18267,3613,20,25.0,12.0,1,100,100.0,0.0,0.0,1.0,0.0,1.0,,1.0,,17,25,0
ACCT10063,ID9497,0,0,10434,36112,56,,12.0,63,8937387,141863.2857142857,0.0,0.14285714285714285,0.38095238095238093,0.14285714285714285,63.0,31.0,32.0,56.0,13,44,0
ACCT10064,ID9498,0,1,17907,19173,21,25.0,12.0,9,50408,5600.888888888889,0.0,2.6666666666666665,0.0,0.1111111111111111,9.0,7.0,2.0,1.0,18,27,0
ACCT10065,ID9499,0,1,17009,14724,36,126.0,12.0,2,35943,17971.5,0.0,1.0,0.5,0.0,2.0,2.0,,,16,20,0
ACCT10066,ID9500,0,1,17725,28811,42,126.0,12.0,15,211928,14128.533333333333,0.0,4.4,0.4666666666666667,0.5333333333333333,15.0,11.0,4.0,1.0,17,27,0
ACCT10067,ID9501,0,0,15803,250585,27,25.0,12.0,7,114341,16334.42857142857,0.0,0.0,0.0,0.0,7.0,4.0,3.0,,11,14,0
ACCT10068,ID9502,0,0,9780,18743,48,,12.0,1,68,68.0,0.0,0.0,0.0,0.0,1.0,,1.0,,10,6,0
ACCT10069,ID9503,0,1,17641,0,43,25.0,12.0,3,1018,339.3333333333333,0.0,0.6666666666666666,0.3333333333333333,0.0,3.0,1.0,2.0,1.0,16,11,0
ACCT1007,ID944,0,0,16073,527722,47,350.0,12.0,3,814332,271444.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,2.0,13,6,0
ACCT10070,ID9504,0,1,16762,34285,29,25.0,12.0,5,9785,1957.0,0.0,2.2,0.4,0.4,5.0,4.0,1.0,,18,27,0
ACCT10071,ID9505,0,1,17431,1254,33,25.0,12.0,18,331252,18402.88888888889,0.0,6.722222222222222,0.0,0.6111111111111112,17.0,11.0,7.0,1.0,17,30,1
ACCT10072,ID9506,0,1,17297,2172,24,25.0,12.0,16,7917,494.8125,0.0,0.9375,0.0,0.0625,14.0,13.0,3.0,11.0,16,47,0
ACCT10073,ID9507,0,1,17297,4090,24,25.0,12.0,4,15293,3823.25,0.0,1.5,0.5,0.0,4.0,2.0,2.0,2.0,16,41,0
ACCT10075,ID9509,0,0,14972,3514184,36,126.0,12.0,23,55571,2416.1304347826085,7.043478260869565,9.391304347826088,0.2608695652173913,0.391304347826087,19.0,13.0,10.0,4.0,15,27,0
ACCT10076,ID9509,0,0,14972,3514184,36,126.0,12.0,1,6041,6041.0,4.0,0.0,0.0,0.0,1.0,,1.0,,10,6,0
ACCT10077,ID9510,0,1,18235,27294,48,25.0,12.0,6,17109,2851.5,0.0,0.0,0.3333333333333333,0.0,6.0,4.0,2.0,1.0,17,25,0
ACCT10078,ID9511,0,1,18141,7,24,25.0,12.0,6,103830,17305.0,0.0,5.166666666666667,0.0,0.0,6.0,3.0,3.0,,16,27,0
ACCT10079,ID9512,0,1,16443,236,28,25.0,12.0,4,9544,2386.0,0.0,3.25,1.0,0.0,4.0,4.0,,,18,27,0
ACCT1008,ID945,0,1,17906,27731,28,25.0,12.0,6,8782,1463.6666666666667,0.0,4.166666666666667,0.0,0.0,6.0,3.0,3.0,1.0,19,12,0
ACCT10080,ID9513,0,1,16115,23858,41,126.0,12.0,3,58590,19530.0,0.0,0.0,0.3333333333333333,0.0,3.0,2.0,1.0,,16,20,0
ACCT10081,ID9514,0,0,10127,121217,45,25.0,12.0,5,46354,9270.8,0.0,5.6,0.6,0.0,5.0,2.0,3.0,1.0,17,6,0
ACCT10082,ID9515,0,0,7481,2715127,66,126.0,12.0,1,470,470.0,0.0,0.0,0.0,0.0,1.0,,1.0,,10,6,0
ACCT10083,ID9516,0,1,17905,0,44,25.0,12.0,6,55659,9276.5,0.0,4.833333333333333,0.6666666666666666,0.16666666666666666,6.0,2.0,4.0,3.0,17,25,0
ACCT10084,ID9517,0,0,9039,3163159,58,126.0,12.0,7,477356,68193.71428571429,0.0,0.0,0.0,0.0,7.0,5.0,2.0,6.0,13,44,0
ACCT10085,ID9518,0,1,17297,104155,30,25.0,12.0,13,1156330,88948.46153846153,0.0,1.8461538461538463,0.46153846153846156,0.0,13.0,5.0,8.0,,17,24,0
ACCT10086,ID9519,0,1,16115,339818,41,126.0,12.0,7,91536,13076.57142857143,0.0,1.0,0.42857142857142855,0.14285714285714285,7.0,6.0,1.0,,18,27,0
ACCT10087,ID9520,0,0,17330,1012151,60,126.0,12.0,1,781,781.0,0.0,0.0,0.0,0.0,1.0,,1.0,1.0,10,6,0
